# Logfile created on 2026-08-29 21:48:54 +0200 by logger.rb/v1.5.3
2026-08-29 21:48:54 +0200: Memory Usage (462528K) : trans_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462528K) : ind_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462792K) : ind_pin has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462792K) : ind_text has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462792K) : salblock_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462792K) : via2_drw has 16 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462792K) : metal3_drw has 11 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462792K) : metal3_pin has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (462792K) : metal3_mask has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463056K) : metal3_filler has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463056K) : metal3_nofill has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463056K) : metal3_slit has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463056K) : metal3_text has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463056K) : metal3_opc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463056K) : metal3_noqrc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463056K) : metal3_res has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463320K) : metal3_iprobe has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463320K) : metal3_diffprb has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463320K) : nwell_drw has 17 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463320K) : nwell_pin has 1 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463320K) : nbulay_drw has 8 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463584K) : nbulay_pin has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463584K) : nbulay_block has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463584K) : emwind_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463584K) : emwind_opc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463848K) : deepco_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463848K) : deepco_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463848K) : mim_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463848K) : edgeseal_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (463848K) : edgeseal_bound has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464112K) : substrate_drw has 8 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464112K) : substrate_text has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464112K) : dfpad_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464112K) : dfpad_pillar has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464112K) : dfpad_sbump has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464376K) : thickgateox_drw has 27 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464376K) : pldb_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464376K) : pwell_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464376K) : pwell_pin has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464376K) : pwell_block has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464640K) : ic_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464640K) : via3_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464640K) : metal4_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464640K) : metal4_pin has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464640K) : metal4_mask has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464640K) : metal4_filler has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464640K) : metal4_nofill has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464904K) : metal4_slit has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464904K) : metal4_text has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464904K) : metal4_opc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464904K) : metal4_noqrc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (464904K) : metal4_res has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (465168K) : metal4_iprobe has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (465168K) : metal4_diffprb has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (465168K) : heattrans_drw has 48 polygons
2026-08-29 21:48:54 +0200: Memory Usage (465168K) : heatres_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (465168K) : pempoly_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (465432K) : fbe_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (465432K) : empoly_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (465432K) : ldmos_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (465432K) : pbiwind_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (465432K) : digisub_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (465696K) : nodrc_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (465696K) : text_drw has 28 polygons
2026-08-29 21:48:54 +0200: Memory Usage (465696K) : via4_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (465696K) : metal5_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466080K) : metal5_pin has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466080K) : metal5_mask has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466080K) : metal5_filler has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466080K) : metal5_nofill has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466080K) : metal5_slit has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466344K) : metal5_text has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466344K) : metal5_opc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466344K) : metal5_noqrc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466344K) : metal5_res has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466344K) : metal5_iprobe has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466608K) : metal5_diffprb has 0 polygons
